ARA,ASSET,ATO,ROA,GROWTH,LEV,SHARE,ST
0.192309634,19.85604835,0.0052,0.087709802,-0.950727316,0.445880057,26.89,0
0.220119957,20.91086312,0.0056,0.016820383,-0.942656324,0.398686374,39.62,0
0.325291689,19.35262341,0.0166,0.042468332,-0.937440417,0.303348107,26.46,0
0.025728678,21.43892774,0.0028,0.01815163,-0.852995319,0.758250185,60.16,0
0.533590893,21.61333919,0.2552,0.004146607,-0.816703929,0.726875299,54.24,1
0.061275206,21.04117011,0.1248,0.051080619,-0.810288401,0.401750312,57.14,0
0.441471658,20.51675708,0.0785,0.060003237,-0.801490036,0.422824133,29,0
0.213081404,20.61706383,0.0606,0.029295059,-0.755937539,0.559262963,29.82,0
0.416292804,20.51603545,0.4747,0.090225874,-0.726220637,0.569279399,36.15,1
0.010403584,21.37770103,0.0643,0.061089344,-0.679994785,0.375268364,49.87,0
0.634684249,20.20880267,0.112,0.032005969,-0.673661076,0.490131711,27.27,0
0.501476997,20.5718533,0.0674,0.05187865,-0.64986085,0.242655012,30.58,0
0.068310417,20.58350214,0.1187,0.111056226,-0.632636764,0.380343512,52.5,0
0.042896615,20.03442823,0.1039,0.024355732,-0.593975962,0.638924541,52.29,1
0.05264031,21.86492839,0.1337,0.030484036,-0.592011661,0.448451148,37.56,0
0.088086891,20.24541167,0.1623,0.10131982,-0.579351319,0.211571028,45.38,0
0.295880203,22.07105241,0.2342,0.005124858,-0.537640418,0.223572934,40.9,1
0.190728207,19.46521762,0.1685,0.102028881,-0.512670541,0.282113396,36.08,0
0.257361259,18.74807498,0.1369,0.00435639,-0.479413266,0.381628908,39.76,0
0.074185867,19.14822071,0.3531,0.042991665,-0.476164854,0.285055948,21.86,0
0.254940709,20.30678627,0.1517,0.038957455,-0.46206155,0.371938398,27.27,0
0.08173224,21.2901707,0.1568,0.038570941,-0.461984021,0.650364933,42.57,0
0.147519326,20.0699651,0.4337,0.014662569,-0.454994145,0.408204114,48.77,0
0.056316721,20.57639243,0.2439,0.073574918,-0.452460823,0.272638549,52.64,0
0.130169211,20.18564796,0.1772,0.041322022,-0.448326543,0.571938358,24.09,0
0.096421321,20.42817493,0.2554,0.050458112,-0.444744774,0.213924136,28.7,0
0.292691009,20.83600604,0.3668,0.077584136,-0.437733038,0.149051377,25.5,0
0.058177477,19.57386752,0.6248,0.054347883,-0.434591944,0.484751763,29.59,0
0.304057498,20.32120962,0.1657,0.056303176,-0.429560977,0.34046721,30.8,0
0.087172482,20.68161933,0.0824,0.036496418,-0.427914719,0.458787716,32.48,1
0.009249134,19.75043189,0.1746,0.061682268,-0.389253449,0.035010084,66.1,0
0.051249806,20.86482509,0.3149,0.05218328,-0.38891439,0.28367001,51.78,0
0.297857318,19.52191069,0.23,0.046474317,-0.388688449,0.624262678,26.1,0
0.539005927,20.93409163,0.2644,0.004930342,-0.375526395,0.373609505,50.41,0
0.033161822,20.94072226,0.2657,0.019497784,-0.355790207,0.155649368,58.83,0
0.023527106,20.07082309,2.3959,0.070585969,-0.344679574,0.139472152,53.21,0
0.023551128,20.1652559,0.49,0.032780145,-0.343752981,0.131572752,58.38,0
0.030638844,20.51378879,0.2568,0.084377891,-0.340930489,0.240052598,58.93,0
0.216374585,20.53056092,0.3467,0.009839698,-0.336056835,0.410801824,56.31,0
